instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
217,2012-11-13,4,1,11,13,0,2,1,1,8.86,49.37,21.75,218
218,2012-07-01,3,1,7,9,0,0,0,1,31.54,49.94,9.87,219
219,2012-11-29,4,1,11,15,0,4,1,1,8.98,41.56,17.38,220
220,2011-06-29,3,0,6,21,0,3,1,1,25.37,40.31,13.69,221
221,2011-05-06,2,0,5,7,0,5,1,1,11.27,80.19,8.0,222
222,2011-06-12,2,0,6,19,0,0,0,1,23.96,78.5,9.0,223
223,2012-03-14,1,1,3,14,0,3,1,1,24.96,23.19,10.63,224
224,2012-06-23,3,1,6,23,0,6,0,1,25.37,47.75,0.81,225
225,2011-03-20,1,0,3,17,0,0,0,1,10.33,37.5,23.0,226
226,2011-10-18,4,0,10,20,0,2,1,1,17.38,65.69,10.12,227
227,2011-12-18,4,0,12,13,0,0,0,1,6.16,48.56,19.81,228
228,2012-08-05,3,1,8,9,0,0,0,1,29.66,58.75,26.12,229
229,2012-07-09,3,1,7,7,0,1,1,3,23.08,82.62,12.88,230
230,2011-05-22,2,0,5,20,0,0,0,1,21.61,68.62,12.12,231
231,2012-02-28,1,1,2,9,0,2,1,1,5.57,43.69,22.5,232
232,2011-06-30,3,0,6,12,0,4,1,1,27.72,34.0,12.12,233
233,2011-10-25,4,0,10,15,0,2,1,1,18.32,36.81,9.75,234
234,2011-03-08,1,0,3,18,0,2,1,1,7.98,28.5,9.94,235
235,2012-10-24,4,1,10,11,0,3,1,1,20.2,62.37,3.38,236
236,2011-03-25,2,0,3,8,0,5,1,1,2.81,49.0,20.44,237
237,2012-06-13,2,1,6,22,0,3,1,1,21.14,50.19,19.19,238
238,2011-05-09,2,0,5,20,0,1,1,1,16.79,53.81,11.19,239
239,2011-10-30,4,0,10,11,0,0,0,1,9.45,51.44,14.44,240
240,2012-12-19,4,1,12,20,0,3,1,1,8.39,59.44,14.88,241
241,2012-12-13,4,1,12,14,0,4,1,1,8.98,33.69,10.0,242
242,2011-09-24,4,0,9,20,0,6,0,1,21.14,82.37,3.38,243
243,2012-03-20,1,1,3,15,0,2,1,2,21.32,66.81,11.13,244
244,2011-08-05,3,0,8,14,0,5,1,2,28.07,53.87,17.0,245
245,2012-09-14,3,1,9,10,0,5,1,2,24.08,62.62,2.44,246
246,2011-06-22,3,0,6,21,0,3,1,1,26.31,79.31,12.0,247
247,2012-11-06,4,1,11,12,0,2,1,1,7.45,45.87,9.12,248
248,2012-06-27,3,1,6,15,0,3,1,1,30.25,24.69,32.0,249
249,2012-06-18,2,1,6,9,0,1,1,2,17.38,85.5,10.88,250
250,2012-05-18,2,1,5,22,0,5,1,1,17.26,54.69,11.94,251
251,2011-07-22,3,0,7,7,0,5,1,2,30.6,63.94,9.38,252
252,2012-11-17,4,1,11,19,0,6,0,1,7.98,60.25,5.88,253
253,2012-05-31,2,1,5,14,0,4,1,1,27.78,31.75,16.81,254
254,2012-08-14,3,1,8,14,0,2,1,1,30.6,43.37,15.56,255
255,2012-06-21,3,1,6,9,0,4,1,1,30.66,51.56,10.69,256
256,2012-04-17,2,1,4,14,0,2,1,1,22.55,25.5,20.5,257
257,2011-12-15,4,0,12,7,0,4,1,1,7.45,68.5,13.75,258
258,2012-06-11,2,1,6,14,0,1,1,2,30.13,37.06,21.19,259
259,2011-08-13,3,0,8,10,0,6,0,2,26.6,70.81,14.37,260
260,2011-06-28,3,0,6,16,0,2,1,1,31.54,51.94,20.13,261
261,2012-11-09,4,1,11,12,0,5,1,1,13.27,39.12,21.56,262
262,2012-05-08,2,1,5,12,0,2,1,2,21.73,64.81,18.94,263
263,2012-02-01,1,1,2,20,0,3,1,1,16.44,51.81,10.38,264
264,2012-01-01,1,1,1,15,0,0,0,1,13.09,52.69,20.56,265
265,2012-10-21,4,1,10,19,0,0,0,1,15.15,42.56,12.0,266
266,2012-03-14,1,1,3,12,0,3,1,2,22.49,27.5,6.38,267
267,2011-12-14,4,0,12,19,0,3,1,2,8.45,64.0,6.5,268
268,2012-05-05,2,1,5,21,0,6,0,2,19.26,77.69,13.5,269
269,2011-04-26,2,0,4,7,0,2,1,1,19.14,83.31,20.06,270
270,2012-07-23,3,1,7,14,0,1,1,2,29.01,57.62,12.5,271
271,2012-12-04,4,1,12,13,0,2,1,2,18.32,60.19,12.75,272
272,2011-04-05,2,0,4,17,0,2,1,1,10.51,39.81,24.06,273
273,2012-09-04,3,1,9,14,0,2,1,1,29.72,56.31,29.56,274
274,2011-07-31,3,0,7,11,0,0,0,1,33.42,26.06,12.25,275
275,2011-12-01,4,0,12,7,0,4,1,1,3.63,63.0,23.31,276
276,2011-06-03,2,0,6,7,0,5,1,1,17.79,44.19,20.0,277
277,2012-03-16,1,1,3,7,0,5,1,2,10.74,87.31,15.06,278
278,2012-07-07,3,1,7,17,0,6,0,1,36.59,27.69,7.19,279
279,2012-02-27,1,1,2,7,0,1,1,1,3.22,59.37,6.56,280
280,2011-08-22,3,0,8,7,0,1,1,1,22.96,61.44,22.44,281
281,2012-02-17,1,1,2,19,0,5,1,1,10.33,36.0,13.87,282
282,2011-12-10,4,0,12,12,0,6,0,1,7.51,39.19,28.37,283
283,2011-04-11,2,0,4,19,0,1,1,1,24.49,56.69,23.63,284
284,2011-11-12,4,0,11,17,0,6,0,1,13.56,46.62,14.75,285
285,2012-08-10,3,1,8,21,0,5,1,1,26.31,70.25,17.81,286
286,2012-02-26,1,1,2,17,0,0,0,1,8.45,34.12,17.38,287
287,2011-12-11,4,0,12,12,0,0,0,1,5.16,33.19,0.0,288
288,2012-05-30,2,1,5,13,0,3,1,1,25.37,45.75,4.5,289
289,2012-09-20,3,1,9,12,0,4,1,1,21.61,43.31,9.31,290
290,2012-06-08,2,1,6,22,0,5,1,1,22.96,49.5,9.13,291
291,2012-09-04,3,1,9,15,0,2,1,1,28.66,64.75,30.5,292
292,2012-07-06,3,1,7,13,0,5,1,1,34.3,29.06,8.88,293
293,2012-03-27,2,1,3,20,0,2,1,1,10.33,27.0,9.0,294
294,2012-09-21,3,1,9,22,0,5,1,1,20.2,73.0,17.44,295
295,2011-12-04,4,0,12,15,0,0,0,1,11.86,58.87,14.62,296
296,2011-09-04,3,0,9,10,0,0,0,1,25.9,72.0,9.87,297
297,2012-04-23,2,1,4,19,0,1,1,2,7.57,75.37,13.13,298
298,2011-05-25,2,0,5,16,0,3,1,1,26.78,50.5,17.13,299
299,2011-11-09,4,0,11,7,0,3,1,1,6.51,90.0,0.0,300
300,2012-05-03,2,1,5,12,0,4,1,1,19.2,71.0,11.56,301
301,2011-05-20,2,0,5,19,0,5,1,1,19.26,64.5,6.19,302
302,2012-10-23,4,1,10,13,0,2,1,2,23.08,42.37,4.88,303
303,2011-07-17,3,0,7,10,0,0,0,1,27.31,57.62,17.0,304
304,2011-12-03,4,0,12,16,0,6,0,1,9.45,54.56,0.56,305
305,2011-11-20,4,0,11,16,0,0,0,2,16.38,62.62,10.75,306
306,2012-02-17,1,1,2,16,0,5,1,1,11.8,31.62,20.81,307
307,2011-09-05,3,0,9,11,1,1,0,2,25.31,72.25,12.25,308
308,2011-06-21,3,0,6,7,0,2,1,2,20.67,91.37,2.31,309
309,2012-07-05,3,1,7,13,0,4,1,1,35.3,32.87,17.81,310
310,2012-09-19,3,1,9,15,0,3,1,1,21.32,34.31,2.0,311
311,2011-08-10,3,0,8,20,0,3,1,1,27.66,32.06,7.94,312
312,2011-05-25,2,0,5,7,0,3,1,1,21.67,69.94,12.75,313
313,2011-04-07,2,0,4,8,0,4,1,1,9.86,70.94,11.25,314
314,2011-11-14,4,0,11,16,0,1,1,1,21.26,45.5,22.75,315
315,2012-04-03,2,1,4,15,0,2,1,1,20.96,20.12,12.12,316
316,2011-07-11,3,0,7,7,0,1,1,1,25.78,70.44,18.19,317
317,2011-12-08,4,0,12,18,0,4,1,1,4.63,53.94,11.5,318
318,2012-04-10,2,1,4,9,0,2,1,1,12.8,57.44,13.06,319
319,2012-06-13,2,1,6,14,0,3,1,2,25.08,35.5,28.37,320
320,2011-04-30,2,0,4,11,0,6,0,1,15.97,42.06,25.25,321
321,2011-07-28,3,0,7,19,0,4,1,1,30.07,61.0,12.5,322
322,2012-09-04,3,1,9,9,0,2,1,2,25.84,76.44,16.12,323
323,2012-08-10,3,1,8,15,0,5,1,1,29.31,52.69,25.38,324
324,2012-05-09,2,1,5,9,0,3,1,2,20.67,74.37,7.75,325
325,2012-11-20,4,1,11,9,0,2,1,2,9.92,68.12,2.63,326
326,2011-08-19,3,0,8,16,0,5,1,1,25.37,60.37,15.75,327
327,2011-08-31,3,0,8,7,0,3,1,1,20.79,73.56,0.38,328
328,2011-08-14,3,0,8,17,0,0,0,1,27.37,63.25,9.62,329
329,2012-05-16,2,1,5,12,0,3,1,1,25.37,48.0,6.37,330
330,2012-04-03,2,1,4,12,0,2,1,1,17.5,22.0,8.62,331
331,2012-11-16,4,1,11,19,0,5,1,1,9.04,45.37,16.5,332
332,2012-06-22,3,1,6,9,0,5,1,1,28.66,55.37,20.69,333
333,2011-08-12,3,0,8,16,0,5,1,1,30.77,26.06,1.94,334
334,2011-10-22,4,0,10,18,0,6,0,1,12.68,60.44,2.81,335
335,2011-10-10,4,0,10,19,1,1,0,2,19.67,76.12,3.0,336
336,2012-10-26,4,1,10,13,0,5,1,2,19.67,65.87,8.87,337
337,2012-09-17,3,1,9,15,0,1,1,2,22.14,66.75,17.62,338
338,2012-06-30,3,1,6,18,0,6,0,1,32.48,39.19,8.31,339
339,2011-10-23,4,0,10,17,0,0,0,1,15.56,62.62,8.19,340
340,2012-05-11,2,1,5,20,0,5,1,1,20.73,26.19,7.0,341
341,2012-09-24,4,1,9,12,0,1,1,1,19.26,33.06,21.69,342
342,2012-05-04,2,1,5,15,0,5,1,2,27.13,53.87,7.0,343
343,2011-10-14,4,0,10,16,0,5,1,1,19.79,44.94,21.81,344
344,2011-10-30,4,0,10,13,0,0,0,1,11.33,40.25,14.25,345
345,2011-09-02,3,0,9,15,0,5,1,2,24.96,60.75,13.5,346
346,2011-08-14,3,0,8,18,0,0,0,1,26.31,69.62,13.38,347
347,2012-10-11,4,1,10,14,0,4,1,1,16.56,32.94,8.57,348
348,2011-05-28,2,0,5,11,0,6,0,1,25.37,61.25,16.12,349
349,2012-05-07,2,1,5,9,0,1,1,2,15.91,79.75,14.12,350
350,2012-05-11,2,1,5,7,0,5,1,1,12.62,47.19,16.81,351
351,2012-03-18,1,1,3,19,0,0,0,1,17.38,70.81,10.19,352
352,2012-02-26,1,1,2,15,0,0,0,1,8.98,30.37,8.62,353
353,2011-11-13,4,0,11,12,0,0,0,2,16.67,27.5,28.37,354
354,2012-12-02,4,1,12,11,0,0,0,2,7.39,81.25,11.44,355
355,2011-04-06,2,0,4,17,0,3,1,1,16.44,30.62,27.38,356
